#下起第一行必须是"type,sensor,", 后续各行是"名称,值,", 直到"###"打头行; 后续各行是表格;"#"打头行为注释行,表头#打头是格式行
type,sensor,
PN,R02141,
model,FTS800_BC959,
thermo_PN,010205,
signal_num,1,
X_unit,mm,
Y1_unit,ohm,
Y2_unit,ohm,
total_length,550,
head_length,32,

###下行是格式行
#Xvalue,Xprecision,Y1value,Yprecision,Yoffset, Xvalue,Xprecision,Y2value,Yprecision,Yoffset
05,3,7870,0.03,,
20,3,3550,0.03,,
45,3,2050,0.03,,
60,3,1370,0.03,,
85,3,1010,0.03,,
105,3,790,0.03,,
125,3,640,0.03,,
145,3,540,0.03,,
165,3,449,0.03,,
185,3,410,0.03,,
205,3,359,0.03,,
225,3,326,0.03,,
245,3,296,0.03,,
265,3,281,0.03,,
285,3,266,0.03,,
305,3,236,0.03,,
325,3,212,0.03,,
345,3,190,0.03,,
365,3,170,0.03,,
385,3,150,0.03,,
