
Pass: Eawdfr2s3WEE	10p8-082wj494	2014-02-09 20:04:45数据清单如下:
位置	数值	参考值	参考精度	实际精度	结果
  55	 5.60	 5.60	0.0400		0.0000		Pass
  76	11.20	11.20	0.0100		0.0000		Pass
  97	16.79	16.80	0.0100		-0.0006		Pass
 118	22.39	22.40	0.0100		-0.0004		Pass
 139	28.00	28.00	0.0100		0.0000		Pass
 160	33.61	33.60	0.0100		0.0003		Pass
 181	39.21	39.20	0.0100		0.0003		Pass
 202	44.81	44.80	0.0100		0.0002		Pass
 223	50.42	50.40	0.0100		0.0004		Pass
 244	56.63	56.60	0.0100		0.0005		Pass
 265	62.82	62.80	0.0100		0.0003		Pass
 286	69.02	69.00	0.0100		0.0003		Pass
 307	75.21	75.20	0.0100		0.0001		Pass
 328	81.38	81.40	0.0100		-0.0002		Pass
 349	87.62	87.60	0.0100		0.0002		Pass
 370	100.63	100.60	0.0100		0.0003		Pass
 391	115.57	115.60	0.0100		-0.0003		Pass
 412	130.63	130.60	0.0100		0.0002		Pass
 433	150.55	150.60	0.0100		-0.0003		Pass
 454	170.55	170.60	0.0100		-0.0003		Pass
 454	170.55	170.60	0.0100		-0.0003		Pass
 433	150.55	150.60	0.0100		-0.0003		Pass
 412	130.65	130.60	0.0100		0.0004		Pass
 391	115.56	115.60	0.0100		-0.0003		Pass
 370	100.61	100.60	0.0100		0.0001		Pass
 349	87.56	87.60	0.0100		-0.0005		Pass
 328	81.39	81.40	0.0100		-0.0001		Pass
 307	75.19	75.20	0.0100		-0.0001		Pass
 286	69.00	69.00	0.0100		0.0000		Pass
 265	62.78	62.80	0.0100		-0.0003		Pass
 244	56.59	56.60	0.0100		-0.0002		Pass
 223	50.40	50.40	0.0100		0.0000		Pass
 202	44.80	44.80	0.0100		0.0000		Pass
 181	39.21	39.20	0.0100		0.0003		Pass
 160	33.59	33.60	0.0100		-0.0003		Pass
 139	28.01	28.00	0.0100		0.0004		Pass
 118	22.40	22.40	0.0100		0.0000		Pass
  97	16.80	16.80	0.0100		0.0000		Pass
  76	11.19	11.20	0.0100		-0.0009		Pass
  55	 5.60	 5.60	0.0400		0.0000		Pass
  45	 0.01	 0.01	0.0400		0.0000		Pass
